,zone1_temperature,zone2_temperature,zone3_temperature,zone4_temperature,surface_adiabatic_1_temperature,surface_adiabatic_2_temperature,surface_adiabatic_3_temperature,surface_adiabatic_4_temperature,surface_adiabatic_5_temperature,surface_adiabatic_6_temperature,surface_adiabatic_7_temperature,surface_adiabatic_8_temperature,surface_adiabatic_9_temperature,surface_adiabatic_10_temperature,surface_adiabatic_11_temperature,surface_adiabatic_12_temperature,surface_adiabatic_13_temperature,surface_adiabatic_14_temperature,surface_adiabatic_15_temperature,surface_adiabatic_16_temperature,surface_adiabatic_17_temperature,surface_adiabatic_18_temperature,surface_adiabatic_19_temperature,surface_exterior_1_temperature,surface_exterior_2_temperature,surface_exterior_3_temperature,surface_exterior_4_temperature,surface_exterior_5_temperature,surface_exterior_6_temperature,surface_exterior_7_temperature,surface_exterior_8_temperature,surface_exterior_9_temperature,surface_interior_1_temperature,surface_interior_2_temperature,surface_interior_3_temperature
2017-01-02 17:00:00,23.0,23.0,23.0,23.0,25.0938979927,25.5092341821,25.5478020595,25.5478020595,25.1102359504,25.1102359504,25.1082900537,25.5555819406,25.5555819406,25.1244102846,25.1244102846,25.1071551998,25.5531679379,25.1231636694,25.1231636694,25.1092506675,25.5545339625,25.1252440663,25.1252440663,25.5714398015,25.5734193449,25.5734320806,25.5746051755,25.5744171253,25.5667248052,25.566536755,25.56695982,25.5681329149,25.1010940232,25.1005265962,25.1087703606
2017-01-02 17:30:00,23.0,23.0,23.0,23.0,25.0553508829,25.4860057858,25.5262074943,25.5262074943,25.0722086304,25.0722086304,25.0695644881,25.533961629,25.533961629,25.086212234,25.086212234,25.0686785475,25.5316730418,25.0852112928,25.0852112928,25.0707240177,25.5330222855,25.0872430237,25.0872430237,25.5474099386,25.5493531038,25.5493656172,25.5505182402,25.5503334717,25.5427960163,25.5426112477,25.5430266894,25.5441793124,25.0624576855,25.0620147152,25.0701442529
2017-01-02 18:00:00,26.2991260599,26.350262299,26.2275035446,26.2522463137,25.0644184409,25.4865342066,25.5263472975,25.5263472975,25.0807769746,25.0807769746,25.0782601789,25.5339845731,25.5339845731,25.0944203182,25.0944203182,25.0807602673,25.5332701911,25.0967362324,25.0967362324,25.0828681675,25.5346537486,25.0988292931,25.0988292931,25.5347243146,25.5365695666,25.5365818617,25.53771437,25.5375328259,25.5316077854,25.5314262413,25.5318811257,25.5330136341,25.0713393099,25.0725893541,25.0805641732
2017-01-02 18:30:00,26.9392606275,27.0587343188,26.8528686399,26.9012217471,25.0963294882,25.498632664,25.5370841837,25.5370841837,25.1117155608,25.1117155608,25.1116899749,25.5454722768,25.5454722768,25.1268490565,25.1268490565,25.1117194729,25.5436503535,25.1267501293,25.1267501293,25.1145279008,25.5453620815,25.1295291428,25.1295291428,25.5325764265,25.5351698811,25.5351819616,25.5362947063,25.5361163304,25.5291780947,25.5289997188,25.5297799161,25.5308926608,25.1040097315,25.1040244805,25.1131089379
2017-01-02 19:00:00,27.0417570683,27.1724571404,26.9409598373,26.9939629023,25.1317997892,25.5127065532,25.5496414548,25.5496414548,25.1461559458,25.1461559458,25.1492350802,25.5590430639,25.5590430639,25.1633244322,25.1633244322,25.1452402303,25.5553863529,25.1592886982,25.1592886982,25.1489452203,25.5575197199,25.1629458247,25.1629458247,25.5304615702,25.5340580897,25.5340699594,25.5351632853,25.5349880223,25.5263490485,25.5261737855,25.5273666267,25.5284599526,25.1405174347,25.1385200098,25.1490901503
2017-01-02 19:30:00,27.0740823015,27.208496173,26.9705062177,27.0251351141,25.1675068831,25.527098898,25.5625032295,25.5625032295,25.1808468189,25.1808468189,25.1870980208,25.5729647229,25.5729647229,25.2001303494,25.2001303494,25.1788637027,25.5673554523,25.1919456395,25.1919456395,25.1834953649,25.5699283718,25.196510688,25.196510688,25.5287843216,25.5334199616,25.5334316242,25.5345058702,25.5343336657,25.5238937729,25.5237215684,25.5253407956,25.5264150416,25.177302452,25.1731852929,25.1852966929
2017-01-02 20:00:00,27.1362614315,27.2740938233,27.0243125359,27.0814618185,25.2035617448,25.5418641044,25.575719391,25.575719391,25.2158965091,25.2158965091,25.225305757,25.5872487351,25.5872487351,25.2372929138,25.2372929138,25.2127113151,25.5796119944,25.2248394913,25.2248394913,25.2182972385,25.582641299,25.2303398061,25.2303398061,25.5250658427,25.5307480481,25.5307595071,25.5318150063,25.5316458069,25.5193649166,25.5191957172,25.5212529097,25.5223084088,25.2144337509,25.20813653,25.2218014977
2017-01-02 20:30:00,27.1976336178,27.3411794599,27.0825150371,27.1420804398,25.2400862801,25.5570633541,25.5893461236,25.5893461236,25.251424156,25.251424156,25.2640390585,25.601978253,25.601978253,25.2749888677,25.2749888677,25.2469974812,25.5922541443,25.2581799044,25.2581799044,25.2535633392,25.5957558818,25.2646409599,25.2646409599,25.5219221559,25.5286755903,25.5286868493,25.5297239287,25.5295576821,25.5153927153,25.5152264687,25.5177334147,25.5187704942,25.2520626693,25.2435418807,25.2588011988
2017-01-02 21:00:00,27.173807565,27.3163530929,27.0579453435,27.1174303449,25.2758562458,25.5720824887,25.6028213928,25.6028213928,25.2862313237,25.2862313237,25.3020097023,25.6165620636,25.6165620636,25.3119571637,25.3119571637,25.2804388325,25.6046925368,25.2907105673,25.2907105673,25.2879817748,25.6086697387,25.2981299232,25.2981299232,25.5189744016,25.526795283,25.5268063456,25.5278253267,25.5276619813,25.5115724274,25.511409082,25.5143647716,25.5153837527,25.288932974,25.2781475391,25.2949957385
2017-01-02 21:30:00,26.9126819271,27.0341117721,26.8019720519,26.8542366142,25.3071502851,25.5850476769,25.6144294979,25.6144294979,25.3166748905,25.3166748905,25.335223687,25.6291590643,25.6291590643,25.3442877994,25.3442877994,25.3092222035,25.615168736,25.3186984596,25.3186984596,25.3176388566,25.6195781884,25.3269752757,25.3269752757,25.5143689323,25.523131085,25.5231419545,25.5241431532,25.5239826584,25.5060086802,25.5058481854,25.5092065695,25.5102077682,25.3211869861,25.3081862443,25.3264312718
2017-01-02 22:00:00,26.8522506774,26.9677781036,26.7456692338,26.7961666432,25.3359060756,25.5969071973,25.6250368154,25.6250368154,25.3446492655,25.3446492655,25.3656359837,25.6406419298,25.6406419298,25.3738919666,25.3738919666,25.3358579249,25.6248122797,25.3445985136,25.3445985136,25.3450616896,25.6296178742,25.3536483152,25.3536483152,25.5093315105,25.5189163577,25.5189270375,25.519910764,25.51975307,25.5001839832,25.5000262892,25.5037487724,25.5047324989,25.3507710297,25.3358820003,25.3553488367
2017-01-02 22:30:00,26.8001123292,26.9111783144,26.6943499065,26.7436153783,25.3631349461,25.6081568665,25.6350964674,25.6350964674,25.3711432091,25.3711432091,25.3944001035,25.6515280073,25.6515280073,25.401897496,25.401897496,25.3610409253,25.6339324559,25.369089937,25.369089937,25.3709920189,25.6391192239,25.3788740393,25.3788740393,25.5039363257,25.5142889109,25.5142994044,25.5152659637,25.5151110216,25.4940309207,25.4938759787,25.4979449096,25.498911469,25.3787675248,25.3620879357,25.3826960612
2017-01-02 23:00:00,26.7957579356,26.9070542866,26.6915327061,26.7409334512,25.3895795177,25.619160966,25.6449414123,25.6449414123,25.3968827593,25.3968827593,25.4223228295,25.6621791227,25.6621791227,25.429093172,25.429093172,25.3855674686,25.6428873477,25.3929513211,25.3929513211,25.3962447578,25.6484486783,25.4034492735,25.4034492735,25.4992416864,25.5103357616,25.5103460719,25.5112957636,25.5111435255,25.4886319479,25.4884797098,25.492885774,25.4938354657,25.4059511736,25.3875734932,25.4092837936
2017-01-02 23:30:00,26.7856124115,26.8962144967,26.6806763793,26.730153294,25.4153736649,25.6299820449,25.6546286763,25.6546286763,25.4219984405,25.4219984405,25.4495606656,25.6726624377,25.6726624377,25.4556316429,25.4556316429,25.4094640129,25.6516851975,25.4162081064,25.4162081064,25.4208567946,25.6576191652,25.4274096566,25.4274096566,25.494557004,25.5063764543,25.5063865847,25.5073197031,25.5071701218,25.4832484535,25.4830988721,25.4878374186,25.488770537,25.4324671652,25.4124188389,25.4352087301
2017-01-03 00:00:00,26.6320291146,26.7305291554,26.5306770224,26.5759541331,25.4384637457,25.6395849366,25.6632103927,25.6632103927,25.4444796704,25.4444796704,25.4739315911,25.681970922,25.681970922,25.4793766522,25.4793766522,25.4305624839,25.6593254937,25.4367377066,25.4367377066,25.4426084393,25.6656063912,25.448582073,25.448582073,25.4893224875,25.5017936487,25.5018036023,25.5027204367,25.5025734657,25.4772693812,25.4771224102,25.4821656478,25.4830824821,25.4561976684,25.4345131148,25.4582700152
