building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
166311288,zone_1,surface_adiabatic_floor,floor_concrete,42.83886922868103,
166311389,zone_1,surface_adiabatic_floor,floor_concrete,180.32414858071832,
166311391,zone_1,surface_adiabatic_floor,floor_concrete,149.33666650165205,
166554010,zone_1,surface_adiabatic_floor,floor_concrete,253.4673615351399,
166554010,zone_2,surface_adiabatic_floor,floor_concrete,253.4673615351399,
170960936,zone_1,surface_adiabatic_floor,floor_concrete,5076.66393104337,
171987820,zone_1,surface_adiabatic_floor,floor_concrete,3616.109099093088,
171987823,zone_1,surface_adiabatic_floor,floor_concrete,3761.527001306509,
171995551,zone_1,surface_adiabatic_floor,floor_concrete,387.8265231104999,
171995552,zone_1,surface_adiabatic_floor,floor_concrete,1390.4090063757283,
171995553,zone_1,surface_adiabatic_floor,floor_concrete,2035.354543489174,
171995553,zone_2,surface_adiabatic_floor,floor_concrete,2035.354543489174,
171995554,zone_1,surface_adiabatic_floor,floor_concrete,4170.005367031848,
171995555,zone_1,surface_adiabatic_floor,floor_concrete,784.528165903146,
171995557,zone_1,surface_adiabatic_floor,floor_concrete,372.3314180593252,
171995558,zone_1,surface_adiabatic_floor,floor_concrete,1626.2700576683046,
171995559,zone_1,surface_adiabatic_floor,floor_concrete,1304.4877714436814,
171995560,zone_1,surface_adiabatic_floor,floor_concrete,592.8430357623233,
171995561,zone_1,surface_adiabatic_floor,floor_concrete,2861.098937013535,
171995562,zone_1,surface_adiabatic_floor,floor_concrete,1794.9848317250526,
171995563,zone_1,surface_adiabatic_floor,floor_concrete,423.88420439053846,
171999278,zone_1,surface_adiabatic_floor,floor_concrete,1854.0902718851198,
171999282,zone_1,surface_adiabatic_floor,floor_concrete,1042.2712321200172,
171999283,zone_1,surface_adiabatic_floor,floor_concrete,2170.200074363375,
171999284,zone_1,surface_adiabatic_floor,floor_concrete,2050.2371903868648,
171999290,zone_1,surface_adiabatic_floor,floor_concrete,503.7051023349385,
171999291,zone_1,surface_adiabatic_floor,floor_concrete,714.7654560317121,
171999293,zone_1,surface_adiabatic_floor,floor_concrete,6184.26719918195,
171999297,zone_1,surface_adiabatic_floor,floor_concrete,249.84771058300905,
171999299,zone_1,surface_adiabatic_floor,floor_concrete,1953.2608472720042,
171999300,zone_1,surface_adiabatic_floor,floor_concrete,419.7078753795413,
171999304,zone_1,surface_adiabatic_floor,floor_concrete,6211.32027989829,
171999306,zone_1,surface_adiabatic_floor,floor_concrete,1991.6336323894159,
171999314,zone_1,surface_adiabatic_floor,floor_concrete,589.518074972875,
171999325,zone_1,surface_adiabatic_floor,floor_concrete,8544.667156655763,
171999336,zone_1,surface_adiabatic_floor,floor_concrete,5698.476699609239,
171999340,zone_1,surface_adiabatic_floor,floor_concrete,2992.4007339905675,
171999341,zone_1,surface_adiabatic_floor,floor_concrete,1488.3352645363195,
171999342,zone_1,surface_adiabatic_floor,floor_concrete,881.1226880008198,
171999350,zone_1,surface_adiabatic_floor,floor_concrete,862.8896235730467,
172000299,zone_1,surface_adiabatic_floor,floor_concrete,320.43316063156766,
172000303,zone_1,surface_adiabatic_floor,floor_concrete,337.5184016428952,
172000305,zone_1,surface_adiabatic_floor,floor_concrete,459.95180177239547,
172000306,zone_1,surface_adiabatic_floor,floor_concrete,413.07178531034594,
172000308,zone_1,surface_adiabatic_floor,floor_concrete,520.7925600754929,
172002558,zone_1,surface_adiabatic_floor,floor_concrete,847.6780252193464,
172002559,zone_1,surface_adiabatic_floor,floor_concrete,299.9281621290406,
172002560,zone_1,surface_adiabatic_floor,floor_concrete,334.31142408716954,
172002561,zone_1,surface_adiabatic_floor,floor_concrete,274.8718670281499,
172014438,zone_1,surface_adiabatic_floor,floor_concrete,13831.421063117414,
172014438,zone_2,surface_adiabatic_floor,floor_concrete,13831.421063117414,
172014440,zone_1,surface_adiabatic_floor,floor_concrete,24846.561977825066,
172014440,zone_2,surface_adiabatic_floor,floor_concrete,24846.561977825066,
172014442,zone_1,surface_adiabatic_floor,floor_concrete,16473.423034892898,
172014442,zone_2,surface_adiabatic_floor,floor_concrete,16473.423034892898,
172023443,zone_1,surface_adiabatic_floor,floor_concrete,2191.8928398638627,
172023443,zone_2,surface_adiabatic_floor,floor_concrete,2191.8928398638627,
172023449,zone_1,surface_adiabatic_floor,floor_concrete,343.30994958381996,
172023451,zone_1,surface_adiabatic_floor,floor_concrete,2444.418851298346,
172023451,zone_2,surface_adiabatic_floor,floor_concrete,2444.418851298346,
172023457,zone_1,surface_adiabatic_floor,floor_concrete,464.9404859112229,
172023460,zone_1,surface_adiabatic_floor,floor_concrete,1918.0651185753932,
172023461,zone_1,surface_adiabatic_floor,floor_concrete,1042.0015995126869,
172024966,zone_1,surface_adiabatic_floor,floor_concrete,630.1980199019167,
172024967,zone_1,surface_adiabatic_floor,floor_concrete,532.8538760874613,
172024968,zone_1,surface_adiabatic_floor,floor_concrete,684.2093237996066,
172024969,zone_1,surface_adiabatic_floor,floor_concrete,743.076098617864,
172024970,zone_1,surface_adiabatic_floor,floor_concrete,1701.1190863120837,
172024971,zone_1,surface_adiabatic_floor,floor_concrete,1082.0713421749488,
172024971,zone_2,surface_adiabatic_floor,floor_concrete,1082.0713421749488,
